Title,SMILES,A549-hACE2_Cytotoxicity: CC50 (µM),P5_SARS-CoV2_nLuc inhibition: EC50 (µM),SI,Actividad
MWAC-0003795,N#CC1CCN(Cc2c(OCC(O)CN(C)C3CCCCC3)cccc2)CC1,50,0.5,100,1
MWAC-0003795,N#CC1CCN(Cc2c(OCC(O)CN(C)C3CCCCC3)cccc2)CC1,50,4.39,11.3895216400911,1
MWAC-0003786,Cc1sc2n(n1)cc(CNC(=O)CCc1ccc(-c3ccc(C)cc3)o1)n2,50,3.56,14.0449438202247,1
MWAC-0003773,c1cccc(-c2oc(CN3CC(CCO)N(CC(C)C)CC3)cc2)c1C#N,50,4.51,11.0864745011087,1
MWAC-0003761,O=C(C1=C(NC(CSC2=NC(C3=CC=CC(OC(F)F)=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,3.37,14.8367952522255,1
MWAC-0003759,O=C(C1=C(NC(CSC2=NC(C3=CC=C4OCOC4=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,1.53,32.6797385620915,1
MWAC-0003758,O=C(C1=C(NC(CSC2=NC(C3=CC=NC=C3)=CC=N2)=O)SC2=C1CCCC2)N,28.16,0.7,40.2285714285714,1
MWAC-0003757,O=C(C1=C(NC(CSC2=NC(C3=CC=CN=C3)=CC=N2)=O)SC2=C1CCCC2)N,41.39,0.11,376.272727272727,1
MWAC-0003569,COC1=C(OC)C=C2C(=C1)N=CN=C2N(C)[C@@H]1CN(CCCN2C3=C(C=CC=C3)OCC2=O)CC1,50,3.72,13.4408602150538,1
MWAC-0003056,COC1=C(OC)C=C2C(=C1)N=CN=C2N(C)C1CN(CCCN2C3=C(C=CC=C3)OCC2=O)CC1,50,2.67,18.7265917602996,1
MWAC-0002843,O=C(C1=C(NC(CSC2=NC(C3=CC=C(OC)C=C3)=CC=N2)=O)SC2=C1CCCC2)N,50,0.32,156.25,1
MWAC-0002192,NC1CCCC(N(C(=O)C2=CC3=C(C=C2)N=CS3)C2=NC3=CC=CC=C3S2)C1,50,1.22,40.9836065573771,1
MWAC-0001651,Cn1cnc(CN2C(=O)N(Cc3cc(F)c(F)cc3F)/C(=N/c3cc4cn(C)nc4cc3Cl)NC2=O)n1,50,0.01,5000,1
MWAC-0001231,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@@H](O)[C@@H](O)[C@](C#N)(C2=CC=C3N2N=CN=C3N)O1)OC1=CC=CC=C1,1,0.06,16.6666666666667,1
,,,,,63
,,,,,74
